Time,Time Code,Country Name,Country Code,"Adolescent fertility rate (births per 1,000 women ages 15-19) [SP.ADO.TFRT]","Agriculture, forestry, and fishing, value added (% of GDP) [NV.AGR.TOTL.ZS]",Domestic credit provided by financial sector (% of GDP) [FS.AST.DOMS.GD.ZS],Exports of goods and services (% of GDP) [NE.EXP.GNFS.ZS],"External debt stocks, total (DOD, current US$) [DT.DOD.DECT.CD]","Fertility rate, total (births per woman) [SP.DYN.TFRT.IN]","Foreign direct investment, net inflows (BoP, current US$) [BX.KLT.DINV.CD.WD]",Forest area (sq. km) [AG.LND.FRST.K2],GDP (current US$) [NY.GDP.MKTP.CD],GDP growth (annual %) [NY.GDP.MKTP.KD.ZG],"GNI per capita, Atlas method (current US$) [NY.GNP.PCAP.CD]","GNI per capita, PPP (current international $) [NY.GNP.PCAP.PP.CD]","GNI, Atlas method (current US$) [NY.GNP.ATLS.CD]","GNI, PPP (current international $) [NY.GNP.MKTP.PP.CD]",Gross capital formation (% of GDP) [NE.GDI.TOTL.ZS],High-technology exports (% of manufactured exports) [TX.VAL.TECH.MF.ZS],"Immunization, measles (% of children ages 12-23 months) [SH.IMM.MEAS]",Imports of goods and services (% of GDP) [NE.IMP.GNFS.ZS],Income share held by lowest 20% [SI.DST.FRST.20],"Industry (including construction), value added (% of GDP) [NV.IND.TOTL.ZS]","Inflation, GDP deflator (annual %) [NY.GDP.DEFL.KD.ZG]","Life expectancy at birth, total (years) [SP.DYN.LE00.IN]",Merchandise trade (% of GDP) [TG.VAL.TOTL.GD.ZS],Military expenditure (% of GDP) [MS.MIL.XPND.GD.ZS],Mobile cellular subscriptions (per 100 people) [IT.CEL.SETS.P2],"Mortality rate, under-5 (per 1,000 live births) [SH.DYN.MORT]",Net barter terms of trade index (2000 = 100) [TT.PRI.MRCH.XD.WD],Net official development assistance and official aid received (current US$) [DT.ODA.ALLD.CD],"Personal remittances, received (current US$) [BX.TRF.PWKR.CD.DT]",Population density (people per sq. km of land area) [EN.POP.DNST],Population growth (annual %) [SP.POP.GROW],"Population, total [SP.POP.TOTL]",Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population) [SI.POV.DDAY],"Prevalence of HIV, total (% of population ages 15-49) [SH.DYN.AIDS.ZS]","Primary completion rate, total (% of relevant age group) [SE.PRM.CMPT.ZS]","Revenue, excluding grants (% of GDP) [GC.REV.XGRT.GD.ZS]","School enrollment, primary (% gross) [SE.PRM.ENRR]","School enrollment, primary and secondary (gross), gender parity index (GPI) [SE.ENR.PRSC.FM.ZS]","School enrollment, secondary (% gross) [SE.SEC.ENRR]",Statistical Capacity score (Overall average) [IQ.SCI.OVRL],Surface area (sq. km) [AG.SRF.TOTL.K2],Tax revenue (% of GDP) [GC.TAX.TOTL.GD.ZS],Terrestrial and marine protected areas (% of total territorial area) [ER.PTD.TOTL.ZS],Time required to start a business (days) [IC.REG.DURS],"Total debt service (% of exports of goods, services and primary income) [DT.TDS.DECT.EX.ZS]",Urban population growth (annual %) [SP.URB.GROW]
2017,YR2017,Argentina,ARG,62.782,5.478382229,38.33403664,11.24272132,2.36E+11,2.275,11516861462,..,6.43E+11,2.668590379,13120,20310,5.78E+11,8.95E+11,18.75723171,9.237250108,89,13.98061064,5.1,21.8690651,26.00748315,76.372,19.53521205,0.856137916,140.8771235,10.4,150.6282024,-1169999.957,479937458.3,16.09419079,1.037133897,44044811,0.5,0.4,99.96276,19.36518963,109.74146,1.01963,108.7336,85.55556667,2780400,10.95550149,7.40512875,24.5,51.58681493,1.170195959
2017,YR2017,Australia,AUS,11.715,2.70017413,176.245687,21.19320015,..,1.741,47541126472,..,1.33E+12,2.367617253,51600,48280,1.27E+12,1.19E+12,24.07073605,14.62337236,95,20.57679997,..,23.42683572,3.740729484,82.5,34.57120806,2.007966393,111.7080516,3.7,172.4928872,..,2001928453,3.198361419,1.684523108,24601860,..,0.1,..,24.75761598,100.33898,0.93754,150.31148,..,7741220,21.91585863,29.70879373,2.5,..,1.805663698
2017,YR2017,Brazil,BRA,59.111,4.634715845,111.3642473,12.57346262,5.43E+11,1.739,68885072606,..,2.05E+12,1.063832555,8670,15370,1.80E+12,3.19E+12,15.03563634,13.31290322,91,11.57102787,3.2,18.35323184,3.472839988,75.456,18.27862869,1.419526638,105.014207,14.8,115.9902204,273890014.6,2698770651,24.8660385,0.807147162,207833831,4.4,0.5,..,27.1817528,115.44784,1.00377,100.82772,74.44443333,8515770,12.70473972,28.57825261,82.5,34.7083873,1.116980346
2017,YR2017,China,CHN,7.635,7.566149821,216.9075551,19.96295647,1.71E+12,1.683,1.66E+11,..,1.21E+13,6.757007611,8650,16770,1.20E+13,2.32E+13,44.34394069,30.88739648,99,18.18673175,..,40.54108519,3.884169895,76.47,33.82172267,1.896510407,103.4384208,9.2,87.29474124,-989940002.4,28675983092,147.6740508,0.559121331,1386395000,..,..,..,..,99.40481,1.01322,..,78.8889,9562910,..,14.58764165,22.9,7.535646393,2.693540138
2017,YR2017,France,FRA,4.727,1.551765681,157.4408197,30.8198947,..,1.9,37559363019,..,2.59E+12,2.260202721,38330,45310,2.56E+12,3.03E+12,23.36572024,26.09073685,90,31.87816631,8.1,17.20597648,0.456887072,82.52682927,44.61367632,2.349678514,106.4394347,4.1,88.93156926,..,25244528633,122.1154053,0.21542321,66865144,0,0.3,..,44.72583106,102.51076,1.00116,103.76003,..,549086.9922,23.80610031,33.20749968,3.5,..,0.543973761
2017,YR2017,Germany,DEU,8.095,0.831435536,129.3140195,47.3974342,..,1.57,83443556978,..,3.66E+12,2.465030029,43640,53390,3.61E+12,4.41E+12,20.74712095,15.90237918,97,40.29596393,..,27.44214928,1.047329806,80.99268293,71.40486547,1.234141102,132.7148699,3.7,100.2702736,..,16699591430,236.5954946,0.37372456,82657002,..,0.1,98.80514,28.54563496,104.02236,0.95765,98.40928,..,357580,11.4697734,38.78740347,8,..,0.421625392
2017,YR2017,India,IND,13.177,15.61945495,72.07672984,18.78061226,5.11E+11,2.243,39966091359,..,2.65E+12,7.167888861,1830,7090,2.44E+12,9.49E+12,30.94125424,7.352250954,90,21.98606819,..,26.49817453,3.835504789,69.165,28.19115896,2.509624558,87.31773719,38.7,103.7422529,3198389893,68967175500,450.2432858,1.062597394,1338658835,..,..,94.37375,12.86156408,112.95786,1.08402,73.47688,91.11113333,3287259.063,11.18207933,3.479306895,29.8,10.08498649,2.314448126
2017,YR2017,Indonesia,IDN,47.374,13.15417115,42.11662239,20.18855926,3.54E+11,2.336,20510310832,..,1.02E+12,5.067406366,3530,11880,9.33E+11,3.14E+12,33.71707804,8.202632328,75,19.17418623,6.6,39.38673632,4.274985891,71.282,32.08031075,0.804336713,164.44059,25.9,127.9236548,280010009.8,8989529971,146.0864808,1.175102592,264645886,5.7,0.4,100.82592,12.17898939,105.91143,0.99365,87.05922,86.66666667,1913580,9.879192687,5.268233446,24.5,29.43949753,2.408459094
2017,YR2017,Italy,ITA,5.24,1.964175092,164.2785928,30.84240728,..,1.32,11138429977,..,1.96E+12,1.716167381,31340,41430,1.90E+12,2.51E+12,17.91452134,7.907808944,92,27.86194855,6,21.2616905,0.690706206,82.94634146,49.08330777,1.366528764,138.2337679,3.2,102.4952471,..,9742186172,205.8091691,-0.149861117,60536709,1.4,0.3,98.81698,37.73167804,101.87936,0.98404,101.27041,..,301340,23.05445036,13.3653061,11,..,0.26299854
2017,YR2017,Japan,JPN,3.78,1.189256935,..,17.77422628,..,1.43,20419904127,..,4.86E+12,1.928757251,38470,43490,4.88E+12,5.51E+12,23.9029839,17.56046382,97,16.83933447,..,29.1441052,-0.220084775,84.0997561,28.19065716,0.930768157,135.5186644,2.6,68.68033082,..,4443028775,347.7775867,-0.164484036,126785797,..,0.1,..,12.82535154,..,..,..,..,377970,11.64194651,10.02628871,11.1,..,-0.079234712
2017,YR2017,"Korea, Rep.",KOR,1.379,1.961132074,170.0564685,43.09097586,..,1.052,17912900000,..,1.53E+12,3.062768462,28380,38830,1.46E+12,2.00E+12,31.07565107,32.51697438,97,37.68824349,..,35.86926364,2.265177789,82.62682927,68.73567633,2.568843535,124.5854293,3.3,59.40324567,..,6526400000,527.9180106,0.280968018,51361911,..,..,91.35512,27.77809276,98.0886,0.99531,100.33825,..,100339.0039,15.37580886,3.990245738,8,..,0.20860462
2017,YR2017,Mexico,MEX,60.365,3.385490862,38.97422535,37.68984096,4.42E+11,2.157,32945032989,..,1.16E+12,2.118082347,8930,18940,1.11E+12,2.36E+12,22.97206713,21.33358709,76,39.50429844,..,30.79976094,6.657226273,74.947,72.68961679,0.502372223,91.62670695,13.4,91.79140205,754609985.4,32270507679,64.18751717,1.163967779,124777324,..,0.2,104.09784,20.00098937,105.77001,1.03918,104.38503,93.33336667,1964375,13.04892352,19.05623992,8.4,14.64418453,1.527731513
2017,YR2017,Netherlands,NLD,3.788,1.855594964,190.5510563,83.39176802,..,1.62,96255613555,..,8.32E+11,2.910902584,47110,54910,8.07E+11,9.41E+11,20.59267408,22.66556182,93,72.6364432,8.8,17.70313732,1.260707088,81.76097561,147.4749139,1.158526989,120.6250011,3.9,94.38448212,..,2226489767,508.4979519,0.591203366,17131296,0.2,0.2,..,39.09294367,104.22962,1.00799,135.57512,..,41540,23.10030807,21.2099165,3.5,..,1.077686106
2017,YR2017,Russian Federation,RUS,20.699,3.550799839,58.63111921,26.05206174,5.18E+11,1.62,28557440000,..,1.58E+12,1.630185732,9230,25080,1.35E+12,3.68E+12,24.09215557,11.55073005,98,20.70870888,7.1,30.47170209,5.359351897,72.43195122,37.48036121,4.23340737,156.187408,7.6,144.090409,..,8235000000,8.823220799,0.106871954,144496740,0,..,..,24.37175082,102.58246,0.98316,103.38481,83.33333333,17098250,10.25956864,7.616249085,10.1,17.74139522,0.279313186
2017,YR2017,Saudi Arabia,SAU,7.324,2.528472915,38.78231801,34.85306047,..,2.373,1418843614,..,6.89E+11,-0.741502652,19990,54530,6.62E+11,1.80E+12,28.86194133,0.734439772,96,29.34212443,..,45.84757032,7.565813371,74.874,51.75155042,10.25135635,121.4789509,7.5,103.8566688,..,290774666.7,15.39717215,2.003600072,33099147,..,..,103.33474,26.77974038,99.45812,0.95758,107.69401,..,2149690,3.384836237,4.528372363,17.8,..,2.268237258
2017,YR2017,Spain,ESP,7.725,2.801757155,178.7891672,35.17839222,..,1.31,24978595613,..,1.31E+12,2.891768107,27040,38880,1.26E+12,1.81E+12,19.42811552,7.73699774,98,31.59918683,6.2,20.15607491,1.381120778,83.28292683,51.28748604,1.22599306,112.5612499,3.1,91.9547992,..,3004745214,93.26780444,0.234587923,46593236,0.7,0.4,100.57255,15.69398853,102.71029,1.01564,126.0045,..,505935,13.8598889,14.97400981,13,..,0.534737453
